NUM_BODIES 
9

NUM_STEPS
365

NAMES
Sun
Mercury
Venus
Earth
Mars
Jupiter
Saturn
Uranus
Neptune

MASSES
1.989e+30
3.3011e+23
4.8675e+24
5.972e+24
6.4171e+23
1.89819e+27
5.6834e+26
8.6813e+25
1.02413e+26
 
RADII
695700000.0
2439700
6051800
6371000.0
3389500
71492000
54364000
24973000
24341000

TRAJECTORIES
0, 0, 0, -46000000000.0, 0, -107480000000.0, 0, -147095000000.0, 0.0, -206620000000.0, 0, -740520000000.0, 0, -1352550000000.0, 0, -2741300000000.0, 0, -4444450000000.0, 0
1, 0, 0, -45765848903.387505, -5087220442.538963, -107437054269.57758, -3046058215.1369157, -147072070382.9255, -2617783966.765803, -206608378673.45, -2289557073.525544, -740519096105.0631, -1185407517.68825, -1352549728871.5278, -879551941.2291358, -2741299933980.2793, -614303995.068498, -4444449974884.18, -475199999.1048733
2, 0, 0, -45067216406.57152, -10122863934.480267, -107308251941.3821, -6089682226.846001, -147003289022.5867, -5234751805.360157, -206573516360.2031, -4578856600.422373, -740516384422.788, -2370812141.5084248, -1352548915486.2378, -1759103529.833136, -2741299735921.12, -1228607960.5479848, -4444449899536.719, -950399992.8389863
3, 0, 0, -43915380100.678764, -15056817045.49388, -107093697571.4499, -9128439869.242607, -146888678388.35318, -7850087678.5827465, -206515418058.93372, -6867641086.907106, -740511864960.7808, -3556210977.6026716, -1352547559844.5095, -2638654413.1870766, -2741299405822.5337, -1842911866.8494515, -4444449773957.619, -1425599975.8315787
4, 0, 0, -42328542242.944756, -19841784797.02836, -106793565316.77715, -12159903049.47818, -146728275918.81775, -10462976331.021038, -206434092099.01398, -9155653144.861412, -740505537731.7184, -4741601132.133583, -1352545661946.9758, -3518204238.6664543, -2741298943684.5376, -2457215684.3838925, -4444449598146.882, -1900799942.7118907
5, 0, 0, -40331004146.509636, -24434444343.61113, -106408098780.84937, -15181649779.244864, -146522134006.26947, -13072603379.563837, -206329550137.88696, -11442635544.600754, -740497402753.3485, -5926979711.294416, -1352543221794.523, -4397752653.6474, -2741298349507.157, -3071519383.5623083, -4444449372104.508, -2375999888.1091623
6, 0, 0, -37952128241.71106, -28796331549.23617, -105937610797.6354, -18191266200.27229, -146270319974.97104, -15678155603.458847, -206201807157.39197, -13728331267.566692, -740487460048.4895, -7112343821.319322, -1352540239388.2898, -5277299305.506889, -2741297623290.4243, -3685822934.7957077, -4444449095830.501, -2851199806.6526337
7, 0, 0, -35225180978.70073, -32894427976.78576, -105382483154.29733, -21186348601.82782, -145972916053.25604, -18278821233.762924, -206050881459.04404, -16012483558.91735, -740475709645.03, -8297690568.493557, -1352536714729.6685, -6156843841.622953, -2741296765034.379, -4300126308.49511, -4444448769324.864, -3326399692.9715457
8, 0, 0, -32186148315.033203, -36701448683.27008, -104743166252.93927, -24164505428.24331, -145630019339.46576, -20873790242.034313, -205876794658.27148, -18294835979.990788, -740462151575.9293, -9483017059.163713, -1352532647820.3044, -7036385909.374888, -2741295774739.0674, -4914429475.071544, -4444448392587.602, -3801599541.6951394
9, 0, 0, -28872602978.285435, -40195858444.633514, -104020178711.78842, -27123359274.506218, -145241741761.74915, -23462254628.116863, -205679571677.61505, -20575132460.616096, -740446785879.2168, -10668320399.747934, -1352528038662.096, -7915925156.143469, -2741294652404.5435, -5528732404.936054, -4444447965618.717, -4276799347.4526567
10, 0, 0, -25322683240.79347, -43361662556.351494, -103214106906.27148, -30060548867.970467, -144808210031.75473, -26043408706.86712, -205459240738.8935, -22853117351.247253, -740429612597.9917, -11853597696.746136, -1352522887257.1948, -8795461229.31116, -2741293398030.868, -6143035068.499701, -4444447488418.216, -4751999104.87334
11, 0, 0, -21574221093.249004, -46188027474.687904, -102325604450.51808, -32973731034.26288, -144329565592.2465, -28616449393.676212, -205215833354.34128, -25128535474.894848, -740410631780.4232, -13038846056.750229, -1352517193608.0056, -9674993776.262321, -2741292011618.11, -6757337436.173561, -4444446960986.104, -5227198808.586431
12, 0, 0, -17664037165.167694, -48668787450.47309, -101355391619.89087, -35860582645.484184, -143805964558.68048, -31180576488.639587, -204949384316.7242, -27401132178.83106, -740389843479.7501, -14224062586.454336, -1352510957717.1863, -10554522444.383429, -2741290493166.3433, -7371639478.368732, -4444446383322.386, -5702398453.221173
13, 0, 0, -13627402895.573372, -50801888183.72817, -100304254715.20851, -38718802548.8295, -143237577654.7833, -33734992959.22897, -204659931688.44012, -29670653386.04343, -740367247754.2805, -15409244392.665012, -1352504179587.6477, -11434046881.063278, -2741288842675.6514, -7985941165.496334, -4444445755427.07, -6177598033.406812
14, 0, 0, -9497658330.448818, -52588809872.174545, -99173045369.39299, -41546113473.781624, -142624590142.17697, -36278905221.322365, -204347516789.61197, -31936845646.413254, -740342844667.3915, -16594388582.311457, -1352496859222.554, -12313566733.693197, -2741287060146.124, -8600242467.967508, -4444445077300.164, -6652797543.772591
